title,price,location,floor,room,bedroom,bathroom,living_room,kitchen,parking,link
"House for Sale at Khadka Gaun, Kalanki, Kathmandu","Rs.22,500,000","Khadka Gaun, Kalanki, Kathmandu",2.5,9,Bedrooms6,Bathrooms3,,, available,https://99aana.com/property/house-for-sale-at-khadka-gaun-kalanki-kathmandu-8570/
"House for Sale at Kadaghari, Kathmandu","Rs.16,500,000","Kadaghari, Kathmandu",2.5,8,Bedrooms6,Bathrooms3,,, available,https://99aana.com/property/house-for-sale-at-kadaghari-kathmandu-8567/
"House for Sale at Sapkota chowk, Pokhara, Kaski",Rs. 1 crore 5 lakh,"Sapkota chowk, Pokhara, Kaski",2.5,16,Bedrooms3,Bathrooms3,,, available,https://99aana.com/property/house-for-sale-at-sapkota-chowk-pokhara-kaski-8568/
"House for sale at Dhaneshwor Chowk, Kathmandu","Rs.23,000,000","Dhaneshwor Chowk, Kathmandu",2.5,9,Bedrooms5,Bathrooms3,,, available,https://99aana.com/property/house-for-sale-at-dhaneshwor-chowk-kathmandu-8565/
"House for sale at Syuchatar, Kalanki, Kathmandu","Rs.22,000,000","Syuchatar, Kalanki, Kathmandu",2.5,9,Bedrooms2,Bathrooms3,,, available,https://99aana.com/property/house-for-sale-at-syuchatar-kalanki-kathmandu-8564/
"House for sale at Imadol, Lalitpur","Rs.29,000,000","Imadol, Lalitpur",2.5,9,Bedrooms4,Bathrooms3, 2,2, available,https://99aana.com/property/house-for-sale-at-imadol-lalitpur-8562/
"House for sale at Imadol, Mahalaxmi, Lalitpur","Rs.22,500,000","Imadol, Mahalaxmi, Lalitpur",2.5,9,Bedrooms4,Bathrooms4,2,2, available,https://99aana.com/property/house-for-sale-at-imadol-mahalaxmi-lalitpur-8555/
"House for sale at Duwakot height, Bhaktapur","Rs.22,000,000","Duwakot Height, Bhaktapur",2.5,8,Bedrooms4,Bathrooms3,,, available,https://99aana.com/property/house-for-sale-at-duwakot-height-bhaktapur-8554/
"House for Sale at Bafal, Kalanki, Kathmandu","Rs.27,500,000","Bafal, Kalanki, Kathmandu",2.5,8,Bedrooms20,Bathrooms3,,, available,https://99aana.com/property/house-for-sale-at-bafal-kalanki-kathmandu-8553/
"House for sale at Tikathali, Lalitpur",Rs 1 Crore 68 Lakh,"Tikathali, Lalitpur",2.5,8,Bedrooms5,Bathrooms4,,, available,https://99aana.com/property/house-for-sale-at-tikathali-lalitpur-14-8561/
"House for sale at Lokanthali, Bhaktapur",Rs 5 Crore 30 Lakh,"Lokanthali, Bhaktapur",3.5,12,Bedrooms4,Bathrooms3,,,,https://99aana.com/property/house-for-sale-at-lokanthali-bhaktapur-2-8551/
House ,Negotiable,"Tathali, Bhaktapur",2.5,3,Bedrooms1,Bathrooms1,,, available,https://99aana.com/property/house-for-sale-at-tathali-bhaktapur-8549/
"House for Sale at Jyotinagar, Mandikhatar, Kathmandu","Rs.28,800,000","Jyotinagar, Mandikhatar, Kathmandu",2.5,11,Bedrooms5,Bathrooms3,,, available,https://99aana.com/property/house-for-sale-at-jyotinagar-mandikhatar-kathmandu-8543/
"House for Sale at Surya tole, Koteshwor-32, Kathmandu","Rs.60,000,000","Surya tole, Koteshwor-32, Kathmandu",3.5,13,Bedrooms7,Bathrooms4,,, available,https://99aana.com/property/house-for-sale-at-surya-tole-koteshwor-32-kathmandu-8542/
"House for sale at Imadol, Lalitpur",Rs. 2 crore 10 Lakh,"Imadol, Lalitpur",2.5,8,Bedrooms6,Bathrooms4,,,,https://99aana.com/property/house-for-sale-at-imadol-lalitpur-8546/
"House for sale at Sitapaila, Kathmandu",Negotiable,"Sitapaila, Kathmandu",2,15,Bedrooms6,Bathrooms3,,, available,https://99aana.com/property/house-for-sale-at-sitapaila-kathmandu-8539/
"House for sale at Dhumbarahi, Kathmandu",Negotiable,"Dhumbarahi, Kathmandu",2,4,Bedrooms2,Bathrooms1,,,,https://99aana.com/property/land-for-sale-at-dhumbarahi-kathmandu-8537/
"House for sale at Shesamati, Kathmandu",Negotiable,"Shesamati, Kathmandu",1,4,Bedrooms7,Bathrooms5,,, available,https://99aana.com/property/house-for-sale-at-shesamati-kathmandu-8540/
"House for sale at Sangam Tole, Pokhara-13, Kaski","Rs.28,000,000","Sangam Tole, Pokhara-13, Kaski",2.5,8,Bedrooms5,Bathrooms3,,1, available,https://99aana.com/property/house-for-sale-at-sangam-tole-pokhara-13-kaski-8534/
"House for sale at Tikathali, Lalitpur","Rs.13,000,000","Tikathali, Lalitpur",1,4,Bedrooms2,Bathrooms1,,, available,https://99aana.com/property/house-for-sale-at-tikathali-lalitpur-8533/
"House for sale at Kapan, Budhanilkantha, Kathmandu","Rs.22,900,000","Kapan, Budhanilkantha, Kathmandu",3.5,12,Bedrooms4,Bathrooms3,,, available,https://99aana.com/property/house-for-sale-at-kapan-budhanilkantha-kathmandu-8531/
"House for sale at Lubhu, Lalitpur","Rs.22,000,000","Lubhu, Lalitpur",3.5,13,Bedrooms7,Bathrooms4,3,3, available,https://99aana.com/property/house-for-sale-at-lubhu-lalitpur-8532/
"House for sale at Imadol, Lalitpur","Rs.20,500,000","Imadol, Lalitpur",2.5,9,Bedrooms5,Bathrooms6,,,,https://99aana.com/property/house-for-sale-at-imadol-lalitpur-8526/
