title,price,area,location,district,floor,room,bedroom,bathroom,livingroom,kitchen,parking,link
"House for Sale at Sitapaila, Kathmandu","Rs.25,000,000",sq m0-5-0-0,"Sitapaila, Kathmandu",Kathmandu,3,12,,3,,,1,https://99aana.com/property/house-for-sale-at-sitapaila-kathmandu-8694/
"House for sale at Nayabasti, Imadol, Lalitpur",Negotiable,sq m0-4-2-0,"Nayabasti, Imadol, Lalitpur",Lalitpur,3,13,7,4,2,2,1,https://99aana.com/property/house-for-sale-at-nayabasti-imadol-lalitpur-8693/
"House for sale at Lubhu, Lalitpur","Rs.14,500,000",sq m0-3-0-0,"Lubhu, Lalitpur",Lalitpur,2.5,7,4,3,,2,1,https://99aana.com/property/house-for-sale-at-lubhu-lalitpur-8690/
"House for sale at Gothatar, Kathmandu","Rs.24,400,000",sq m0-4-0-0,"Gothatar, Kathmandu",Kathmandu,2.5,,,,,,1,https://99aana.com/property/house-for-sale-at-gothatar-kathmandu-8698/
"House for sale at TiKathali, Lalitpur","Rs.12,500,000",sq m0-3-0-0,"TiKathali, Lalitpur",Lalitpur,1.5,,,,,,1,https://99aana.com/property/house-for-sale-at-tiKathali-lalitpur-8695/
"House for Sale at Kadaghari, Kathmandu","Rs.13,100,000",sq m0-3-0-0,"Kadaghari, Kathmandu",Kathmandu,2.5,,,,,,1,https://99aana.com/property/house-for-sale-at-kadaghari-kathmandu-8689/
"House for Sale at Sitapaila, Kathmandu","Rs.35,000,000",sq m0-6-0-0,"Sitapaila, Kathmandu",Kathmandu,2.5,,,,,,1,https://99aana.com/property/house-for-sale-at-sitapaila-kathmandu-8686/
"House for sale at Budhanilkantha, Kathmandu","Rs.23,500,000",sq m0-4-0-0,"Budhanilkantha, Kathmandu",Kathmandu,2.5,8,,3,,,1,https://99aana.com/property/house-for-sale-at-budhanilkantha-kathmandu-8684/
"House for Sale at Budhanilkantha, Kathmandu","Rs.21,000,000",sq m0-3-0-0,"Budhanilkantha, Kathmandu",Kathmandu,2.5,8,,3,,,1,https://99aana.com/property/house-for-sale-at-budhanilkantha-kathmandu-8683/
"House for sale at Thankot, Chandragiri, Kathmandu","Rs.16,500,000",sq m0-3-0-0,"Thankot, Chandragiri, Kathmandu",Kathmandu,2.5,7,,3,,,1,https://99aana.com/property/house-for-sale-at-thankot-chandragiri-kathmandu-8682/
"House for Sale at Duwakot, Bhaktapur","Rs.11,500,000",sq m0-5-0-0,"Duwakot, Bhaktapur",Bhaktapur,1.5,,,,,,1,https://99aana.com/property/house-for-sale-at-duwakot-bhaktapur-8677/
"House for Sale at Kadaghari, Kathmandu","Rs.18,500,000",sq m0-3-0-0,"Kadaghari, Kathmandu",Kathmandu,2,10,,,,,1,https://99aana.com/property/house-for-sale-at-kadaghari-kathmandu-8676/
"House for sale at Lubhu, Lalitpur",Rs 1 Crore 45 Lakh,sq m0-3-0-0,"Lubhu, Lalitpur",Lalitpur,2.5,7,,,,,1,https://99aana.com/property/house-for-sale-at-lubhu-lalitpur-2-8679/
"House for sale at Kadaghari, Kathmandu","Rs.13,500,000",sq m0-3-0-0,"Kadaghari, Kathmandu",Kathmandu,1,4,3,1,,1,1,https://99aana.com/property/house-for-sale-at-kadaghari-kathmandu-8675/
"House for sale at Boudha, Kathmandu","Rs.29,500,000",sq m0-4-0-0,"Boudha, Kathmandu",Kathmandu,2.5,8,,3,,,1,https://99aana.com/property/house-for-sale-at-boudha-kathmandu-8673/
"House for sale at Itahara, Morang","Rs.3,600,000",sq m3 Katha,"Itahara, Morang",Morang,1,4,,1,,,1,https://99aana.com/property/house-for-sale-at-itahara-morang-8662/
"House for Sale at Kadaghari, Kathmandu","Rs.23,500,000",sq m0-4-0-0,"Kadaghari, Kathmandu",Kathmandu,3,11,,,,,1,https://99aana.com/property/house-for-sale-at-kadaghari-kathmandu-8665/
"House for Sale at Balkot, Bhaktapur","Rs.21,500,000",sq m0-4-0-0,"Balkot, Bhaktapur",Bhaktapur,2.5,2,4,3,,3,1,https://99aana.com/property/house-for-sale-at-balkot-bhaktapur-8667/
"House for sale at Kalanki, Kathmandu",Rs 2 Crore 90 Lakh,sq m0-3-3-0,"Kalanki, Kathmandu",Kathmandu,2.5,9,4,1,,,1,https://99aana.com/property/house-for-sale-at-kalanki-kathmandu-3-8670/
"House for sale at Maharajgunj, Kathmandu",Negotiable,sq m0-8-2-0,"Maharajgunj, Kathmandu",Kathmandu,2.5,8,5,4,,2,1,https://99aana.com/property/house-for-sale-at-maharajgunj-kathmandu-8650/
"House for Sale at Koteshwor-32, Kathmandu","Rs.60,000,000",sq m0-9-2-0,"Koteshwor-32, Kathmandu",Kathmandu,3.5,13,7,4,,2,1,https://99aana.com/property/house-for-sale-at-surya-tole-koteshwor-32-kathmandu-8649/
"House for Sale at Tarkeshwor, Kathmandu",Rs. 1 crore 65 lakh,sq m0-5-2-0,"Tarkeshwor, Kathmandu",Kathmandu,1,4,,1,,,1,https://99aana.com/property/house-for-sale-at-tarkeshwor-kathmandu-8656/
"House for sale at TiKathali, Lalitpur",Rs.1 crore 25 lakh,sq m10 dhur,"TiKathali, Lalitpur",Lalitpur,1.5, 8,,,,,1,https://99aana.com/property/house-for-sale-at-tiKathali-lalitpur-8654/
"House for sale at Matatirtha, Kathmandu",Rs 1 Crore 75 Lakh,sq m0-5-0-0,"Matatirtha, Kathmandu",Kathmandu,2.5,9,6,3,,,1,https://99aana.com/property/house-for-sale-at-matatirtha-chandragiri-8659/
"House for sale at Dahachok, Chandragiri, Kathmandu","Rs.11,500,000",sq m0-3-1-0,"Dahachok, Chandragiri, Kathmandu",Kathmandu,1.5,4,2,1,,,1,https://99aana.com/property/house-for-sale-at-dahachok-chandragiri-kathmandu-8640/
"House for sale at TiKathali, Lalitpur","Rs.19,500,000",sq m0-3-0-0,"TiKathali, Lalitpur",Lalitpur,2.5,8,4,3, 2,2,1,https://99aana.com/property/house-for-sale-at-tiKathali-lalitpur-8639/
"House for sale at Imadol, Lalitpur","Rs.25,500,000",sq m0-3-3-0,"Imadol, Lalitpur",Lalitpur,2.5,8,4,3, 2,2,1,https://99aana.com/property/house-for-sale-at-imadol-lalitpur-8638/
"House for sale at Baluwatar, Kathmandu",Rs 16 Crore,sq m0-12-0-0,"Baluwatar, Kathmandu",Kathmandu,3.5,15,8,7,,,,https://99aana.com/property/house-for-sale-at-baluwatar-kathmandu-2-8648/
"House for sale at Birauta, Pokhara, Kaski",Rs. 1 crore 85 lakh,sq m0-4-2-1,"Birauta, Pokhara, Kaski",Kaski,2.5,1,4,2,,2,1,https://99aana.com/property/house-for-sale-at-birauta-pokhara-kaski-8646/
"House for sale at Hetauda-02, Makwanpur",Negotiable,sq m10 dhur,"Hetauda-02, Makwanpur",Makwanpur,2,1,4,2,,1,1,https://99aana.com/property/house-for-sale-at-hetauda-02-makwanpur-8644/
"House for sale at Baluwatar, Kathmandu","Rs.90,000,000",sq m0-9-0-0,"Baluwatar, Kathmandu",Kathmandu,3.5,,,,,,,https://99aana.com/property/house-for-sale-at-baluwatar-kathmandu-8643/
"House for sale at Sudal, Bhaktapur",Rs 92 Lakh,sq m0-3-2-0,"Sudal, Bhaktapur",Bhaktapur,1,4,,1,,,1,https://99aana.com/property/house-for-sale-at-sudal-bhaktapur-8637/
"House for Sale at Katunje, Bhaktapur","Rs.11,000,000",sq m0-4-0-0,"Katunje, Bhaktapur",Bhaktapur,1.5,3,,1,,,1,https://99aana.com/property/house-for-sale-at-katunje-bhaktapur-8634/
"House for Sale at Sitapaila, Kathmandu","Rs.21,500,000",sq m0-3-2-0,"Sitapaila, Kathmandu",Kathmandu,2.5,9,,3,,,1,https://99aana.com/property/house-for-sale-at-sitapaila-kathmandu-8620/
"House for sale at TiKathali, Lalitpur","Rs.22,500,000",sq m0-3-1-1,"TiKathali, Lalitpur",Lalitpur,2.5,9,7,5,1,1,1,https://99aana.com/property/house-for-sale-at-tiKathali-lalitpur-8619/
"House for sale at Bhangal, Budhanilkantha-08, Kathmandu","Rs.26,500,000",sq m0-3-2-2,"Bhangal, Budhanilkantha-08, Kathmandu",Kathmandu,3.5,13,,4,,,1,https://99aana.com/property/house-for-sale-at-bhangal-budhanilkantha-08-kathmandu-8617/
"House for sale at Golfutar, Kathmandu","Rs.31,000,000",sq m0-5-3-2,"Golfutar, Kathmandu",Kathmandu,2.5,8,,3,,,1,https://99aana.com/property/house-for-sale-at-golfutar-kathmandu-8616/
"House for Sale at Tarkeshwor, Kathmandu","Rs.18,500,000",sq m0-5-0-0,"Tarkeshwor, Kathmandu",Kathmandu,2.5,11,,2,,,1,https://99aana.com/property/house-for-sale-at-tarkeshwor-kathmandu-8622/
"House for Sale at Kadaghari, Kathmandu","Rs.16,000,000",sq m0-3-0-0,"Kadaghari, Kathmandu",Kathmandu,1.5,11,,,,,1,https://99aana.com/property/house-for-sale-at-kadaghari-kathmandu-8621/
"House for sale at Boudha, Kathmandu","Rs.29,500,000",sq m0-4-0-0,"Boudha, Kathmandu",Kathmandu,2.5,11,4,6,,,1,https://99aana.com/property/house-for-sale-at-boudha-kathmandu-8609/
"House for sale at Gothatar, Kathmandu","Rs.17,500,000",sq m0-5-0-0,Gothatar Kathmandu,Kathmandu,2,,,,,,,https://99aana.com/property/house-for-sale-at-gothatar-kathmandu-8614/
"House for sale at Suryabinayak, Bhaktapur",Rs. 2 crore 50 Lakh,sq m0-4-0-0,"Suryabinayak, Bhaktapur",Bhaktapur,5.5,,,,,,1,https://99aana.com/property/house-for-sale-at-suryabinayak-bhaktapur-8610/
"House for sale at Baluwakhani, Kapan, Budhanilkantha-10, Kathmandu","Rs.24,000,000",sq m0-3-2-0,"Baluwakhani, Kapan, Budhanilkantha-10, Kathmandu",Kathmandu,2.5,11,5,3,,,1,https://99aana.com/property/house-for-sale-at-baluwakhani-kapan-budhanilkantha-10-kathmandu-8598/
"House for sale at Sheetal Height, Imadol, Lalitpur","Rs.21,000,000",sq m0-3-0-0,"Sheetal Height, Imadol, Lalitpur",Lalitpur,2.5,8,4,3,,2,1,https://99aana.com/property/house-for-sale-at-sheetal-height-imadol-lalitpur-8595/
"House for sale at Bhangal, Budhanilkantha, Kathmandu","Rs.12,500,000",sq m0-3-0-0,"Bhangal, Budhanilkantha, Kathmandu",Kathmandu,1,4,2,1,,1,1,https://99aana.com/property/house-for-sale-at-bhangal-budhanilkantha-kathmandu-8594/
"House for sale at Birtamode, Jhapa","Rs.11,500,000",sq m5.5 dhur,"Birtamode, Jhapa",Jhapa,3.5,,2,,,,1,https://99aana.com/property/house-for-sale-at-birtamode-jhapa-8599/
"House for sale at Sheetal Height, Imadol, Lalitpur","Rs.21,500,000",sq m0-3-1-1,"Sheetal Height, Imadol, Lalitpur",Lalitpur,2.5,8,4,3,,2,1,https://99aana.com/property/house-for-sale-at-sheetal-height-imadol-lalitpur-8587/
"House for sale at Sitapaila, Kathmandu",Rs 1 Crore 20 Lakh,sq m0-4-0-0,"Sitapaila, Kathmandu",Kathmandu,2,,,,,,1,https://99aana.com/property/house-for-sale-at-sitapaila-kathmandu-6-8593/
